variable,type,description,values
school,binary,student's school,GP' - Gabriel Pereira or 'MS' - Mousinho da Silveira
sex,binary,student's sex,'F' - female or 'M' - male
age,numeric,student's age,15-22
address,binary,student's home address type,'U' - urban or 'R' - rural
famsize,binary,family size,'LE3' - less or equal to 3 or 'GT3' - greater than 3
Pstatus,binary,parent's cohabitation status,'T' - living together or 'A' - apart
Medu,numeric,mother's education,"0 - none, 1 - primary education (4th grade), 2 – 5th to 9th grade, 3 – secondary education or 4 – higher education"
Fedu,numeric,father's education,"0 - none, 1 - primary education (4th grade), 2 – 5th to 9th grade, 3 – secondary education or 4 – higher education"
Mjob,nominal,mother's job,"'teacher', 'health' care related, civil 'services' (e.g. administrative or police), 'at_home' or 'other'"
Fjob,nominal,father's job,"'teacher', 'health' care related, civil 'services' (e.g. administrative or police), 'at_home' or 'other'"
reason,nominal,reason to choose this school,"close to 'home', school 'reputation', 'course' preference or 'other'"
guardian,nominal,student's guardian,"'mother', 'father' or 'other'"
traveltime,numeric,home to school travel time,"1 - <15 min., 2 - 15 to 30 min., 3 - 30 min. to 1 hour, or 4 - >1 hour"
studytime,numeric,weekly study time,"1 - <2 hours, 2 - 2 to 5 hours, 3 - 5 to 10 hours, or 4 - >10 hours"
failures,numeric,number of past class failures,"n if 1<=n<3, else 4"
schoolsup,binary,extra educational support,yes or no
famsup,binary,family educational support,yes or no
paid,binary,extra paid classes within the course subject,yes or no
activities,binary,extra-curricular activities,yes or no
nursery,binary,attended nursery school,yes or no
higher,binary,wants to take higher education,yes or no
internet,binary,Internet access at home,yes or no
romantic,binary,with a romantic relationship,yes or no
famrel,numeric,quality of family relationships,from 1 - very bad to 5 - excellent
freetime,numeric,free time after school,from 1 - very low to 5 - very high
goout,numeric,going out with friends,from 1 - very low to 5 - very high
Dalc,numeric,workday alcohol consumption,from 1 - very low to 5 - very high
Walc,numeric,weekend alcohol consumption,from 1 - very low to 5 - very high
health,numeric,current health status,from 1 - very bad to 5 - very good
absences,numeric,number of school absences,from 0 to 93
G1,numeric,first period grade,from 0 to 20
G2,numeric,second period grade,from 0 to 20
G3,numeric,final grade,from 0 to 20 - output target
